0.01665,0.0229,-0.01245,0.0291
0.017,0.0227,-0.01235,0.02935
0.01725,0.0221,-0.01245,0.0297
0.01725,0.023,-0.01225,0.02975
0.0183,0.0232,-0.0124,0.0307
0.0183,0.0229,-0.01275,0.0316
0.01665,0.0194,-0.01435,0.031
0.0179,0.02095,-0.0143,0.0322
0.0185,0.0217,-0.0092,0.0322
0.019,0.0226,-0.01385,0.0329
0.01925,0.0231,-0.0136,0.0328
0.01885,0.02385,-0.01345,0.03235
0.0201,0.0217,-0.03215,0.03285
0.01795,0.0228,-0.0296,0.03435
0.01845,0.0208,-0.0296,0.0347
0.01825,0.0214,-0.02935,0.03445
0.01795,0.0222,-0.029,0.03455
0.0251,0.0381,-0.03845,0.0408
0.03045,0.035,-0.04625,0.04155
0.0355,0.0356,-0.05149,0.04525
0.031,0.0347,-0.0466,0.04555
0.031,0.035,-0.0463,0.04595
0.03105,0.035,-0.0463,0.0457
0.0313,0.0356,-0.0466,0.04615
